PM2p5,PM10
65.96862745098039,60.143125
66.74259259259259,61.08294117647059
67.95,62.104444444444454
68.46166666666666,62.0921052631579
68.80714285714286,62.634
68.90075757575758,62.83380952380952
68.7304347826087,63.000454545454545
68.30694444444444,63.96739130434783
68.78680555555556,64.41166666666668
69.18263888888889,65.17208333333333
69.3298611111111,65.6025
69.35416666666667,65.92875000000001
69.025,65.61916666666666
68.90972222222223,65.9825
68.76805555555555,66.30874999999999
70.09791666666666,66.57458333333334
70.73472222222222,66.98708333333333
71.02083333333333,67.5375
71.75416666666666,68.19333333333334
72.01597222222222,68.9675
72.79166666666667,69.68916666666667
73.52152777777778,70.09208333333333
73.475,70.44125000000001
73.86736111111111,70.71208333333334
74.2923611111111,71.07833333333333
74.59791666666666,70.63958333333333
74.38541666666667,70.30541666666666
74.60347222222222,70.48083333333334
74.81944444444446,70.44958333333334
75.58125000000001,70.95833333333333
76.27013888888891,71.455
77.48472222222222,71.03416666666668
78.0826388888889,71.32666666666667
78.74444444444445,71.60291666666667
79.85833333333333,72.24000000000001
80.70486111111111,73.02083333333333
81.97430555555556,73.46625
81.85069444444443,73.2475
81.49722222222222,72.99333333333334
81.08958333333334,72.63541666666667
81.21111111111111,72.6025
82.06527777777778,72.55833333333334
82.36180555555555,72.32875
83.00347222222223,72.27333333333333
83.42986111111111,72.21708333333332
83.21811594202899,72.58173913043478
83.95303030303032,72.90499999999999
84.66031746031746,73.6047619047619
85.17750000000001,73.9185
85.06929824561405,74.35684210526315
85.09629629629629,74.51833333333333
85.19509803921568,75.01470588235294
85.46354166666667,75.191875
109.22916666666666,85.078125
109.80980392156862,85.73705882352941
110.27777777777779,85.69777777777777
109.22105263157893,85.64473684210526
108.29333333333334,86.25399999999999
107.56666666666668,86.15523809523809
105.69848484848482,85.85636363636364
104.79420289855071,85.79608695652173
104.575,85.76541666666667
104.51666666666665,85.88250000000001
103.95555555555556,85.98166666666667
104.0152777777778,86.165
104.12083333333335,86.12541666666668
103.87916666666666,85.895
104.61527777777778,85.65041666666667
103.75,85.57791666666667
102.05555555555556,85.22208333333333
100.7513888888889,84.98416666666667
99.37152777777779,84.19833333333334
98.09583333333333,83.16
96.91388888888889,82.19250000000001
94.44999999999999,80.91000000000001
92.68333333333331,79.80333333333333
91.13194444444444,78.49958333333333
89.3465277777778,77.47416666666666
88.27222222222224,76.4025
86.65833333333333,75.90708333333333
85.61597222222224,75.39666666666666
84.9076388888889,74.22208333333334
83.9625,73.49249999999999
83.5923611111111,73.47
82.61597222222223,72.72125
81.31736111111111,71.96916666666668
80.7875,71.27458333333333
80.43888888888888,70.68708333333333
79.53472222222221,70.25416666666668
78.4659722222222,69.49208333333333
77.61527777777778,68.92958333333334
76.84444444444443,68.47291666666668
75.71597222222222,68.05375
74.6138888888889,68.02041666666666
73.45138888888889,67.36333333333333
72.96944444444443,66.77083333333333
72.81944444444444,66.67333333333333
73.04166666666666,66.80583333333333
74.08611111111111,67.10000000000001
74.05486111111111,66.94666666666667
74.41180555555556,67.25541666666668
74.90486111111112,67.90208333333334
74.60694444444444,68.35
74.75972222222222,68.27250000000001
74.67986111111111,68.01625
74.85486111111112,68.08458333333333
74.8888888888889,68.30791666666667
75.0111111111111,68.33500000000001
75.40069444444444,68.94166666666668
75.97638888888889,69.45333333333333
75.93888888888888,69.78458333333334
75.93333333333334,70.23916666666668
76.32152777777779,70.50875
77.09583333333333,70.97000000000001
77.67222222222222,71.60375
78.0875,71.99166666666666
78.65625,72.35666666666667
79.64861111111111,72.47875
80.36805555555554,73.18833333333333
81.1923611111111,73.825
81.66111111111111,74.23041666666667
82.2923611111111,74.26125
82.20972222222224,74.46541666666666
82.17361111111111,74.69166666666666
82.32777777777778,74.85375
82.11249999999998,74.65541666666667
82.20763888888888,74.79541666666667
82.76388888888889,75.36166666666666
83.19583333333333,75.68083333333333
82.9111111111111,75.72
82.83749999999999,75.78041666666667
83.27638888888889,75.72041666666667
83.6673611111111,75.37958333333334
83.64444444444445,74.8325
83.86458333333333,75.03291666666667
84.48402777777778,75.09791666666668
84.65069444444444,75.30541666666666
85.06875,75.83791666666666
85.82222222222222,76.30166666666666
85.67777777777778,76.53208333333333
85.48125,76.54875
85.02083333333333,76.44708333333334
85.00972222222222,76.3125
84.68125,76.36166666666666
84.7361111111111,76.49791666666667
84.50694444444443,76.66083333333333
84.42083333333332,76.57083333333334
